model,researcher_name,ground_truth_groups,top_1_groups,top_1_scores,top_3_groups,top_3_scores,top_5_groups,top_5_scores
tfidf,Alfons Kemper,Databases,Databases,0.375681,Databases | Data Mining | The Web & Information Retrieval,0.375681 | 0.285519 | 0.280777,Databases | Data Mining | The Web & Information Retrieval | Machine Learning | Artificial Intelligence,0.375681 | 0.285519 | 0.280777 | 0.273661 | 0.272786
tfidf,Ali Mahdavi-Amiri,Computer Graphics | Computer Vision | Machine Learning,Computer Graphics,0.486184,Computer Graphics | Computer Vision | Robotics,0.486184 | 0.421240 | 0.393404,Computer Graphics | Computer Vision | Robotics | Machine Learning | Artificial Intelligence,0.486184 | 0.421240 | 0.393404 | 0.378054 | 0.369191
tfidf,Alois C. Knoll,Artificial Intelligence | Computer Vision | Machine Learning | Robotics,Robotics,0.167744,Robotics | Computer Vision | Computer Graphics,0.167744 | 0.159510 | 0.155852,Robotics | Computer Vision | Computer Graphics | Machine Learning | Artificial Intelligence,0.167744 | 0.159510 | 0.155852 | 0.144267 | 0.143919
tfidf,Alán Aspuru-Guzik,Computer Vision | Machine Learning | Robotics,Robotics,0.243607,Robotics | Computer Vision | Machine Learning,0.243607 | 0.216346 | 0.215373,Robotics | Computer Vision | Machine Learning | Artificial Intelligence | Computer Graphics,0.243607 | 0.216346 | 0.215373 | 0.210767 | 0.203970
tfidf,Amir-massoud Farahmand,Artificial Intelligence | Computer Vision | Machine Learning,Machine Learning,0.230854,Machine Learning | Artificial Intelligence | Data Mining,0.230854 | 0.223745 | 0.216233,Machine Learning | Artificial Intelligence | Data Mining | Robotics | Natural Language Processing,0.230854 | 0.223745 | 0.216233 | 0.211207 | 0.202594
tfidf,Amnon Shashua,Computer Vision | Machine Learning | Natural Language Processing,Natural Language Processing,0.205237,Natural Language Processing | The Web & Information Retrieval | Machine Learning,0.205237 | 0.178435 | 0.171016,Natural Language Processing | The Web & Information Retrieval | Machine Learning | Artificial Intelligence | Databases,0.205237 | 0.178435 | 0.171016 | 0.168930 | 0.164151
tfidf,Amrit Singh Bedi,Artificial Intelligence | Computer Vision | Machine Learning | Robotics,Natural Language Processing,0.339686,Natural Language Processing | Machine Learning | Artificial Intelligence,0.339686 | 0.337154 | 0.336860,Natural Language Processing | Machine Learning | Artificial Intelligence | Robotics | Data Mining,0.339686 | 0.337154 | 0.336860 | 0.326399 | 0.319943
tfidf,Andrea Tagliasacchi,Computer Graphics | Computer Vision | Machine Learning | Robotics,Computer Graphics,0.396801,Computer Graphics | Computer Vision | Robotics,0.396801 | 0.313544 | 0.306072,Computer Graphics | Computer Vision | Robotics | Machine Learning | Human-Computer Interaction,0.396801 | 0.313544 | 0.306072 | 0.272004 | 0.265410
tfidf,Andreas Geiger 0001,Computer Graphics | Computer Vision | Machine Learning | Robotics,Computer Graphics,0.467867,Computer Graphics | Computer Vision | Robotics,0.467867 | 0.393729 | 0.383271,Computer Graphics | Computer Vision | Robotics | Machine Learning | Artificial Intelligence,0.467867 | 0.393729 | 0.383271 | 0.356989 | 0.343856
tfidf,Andrew Pavlo,Databases,Databases,0.253107,Databases | Data Mining | The Web & Information Retrieval,0.253107 | 0.173327 | 0.171887,Databases | Data Mining | The Web & Information Retrieval | Machine Learning | Artificial Intelligence,0.253107 | 0.173327 | 0.171887 | 0.166156 | 0.162210
tfidf,Anfeng Liu,Artificial Intelligence | Human-Computer Interaction,Computer Graphics,0.198825,Computer Graphics | Computer Vision | Robotics,0.198825 | 0.179671 | 0.164695,Computer Graphics | Computer Vision | Robotics | Artificial Intelligence | Machine Learning,0.198825 | 0.179671 | 0.164695 | 0.161127 | 0.160120
tfidf,Angela Dai,Computer Graphics | Computer Vision | Machine Learning,Computer Graphics,0.673029,Computer Graphics | Robotics | Computer Vision,0.673029 | 0.543726 | 0.539718,Computer Graphics | Robotics | Computer Vision | Machine Learning | Human-Computer Interaction,0.673029 | 0.543726 | 0.539718 | 0.468209 | 0.457456
tfidf,Angjoo Kanazawa,Computer Graphics | Computer Vision | Machine Learning | Robotics,Computer Graphics,0.715492,Computer Graphics | Robotics | Computer Vision,0.715492 | 0.617521 | 0.604621,Computer Graphics | Robotics | Computer Vision | Machine Learning | Human-Computer Interaction,0.715492 | 0.617521 | 0.604621 | 0.538342 | 0.530629
tfidf,Anima Anandkumar,Artificial Intelligence | Computer Vision | Data Mining | Machine Learning | Natural Language Processing | Robotics,Computer Vision,0.625234,Computer Vision | Machine Learning | Artificial Intelligence,0.625234 | 0.618138 | 0.609920,Computer Vision | Machine Learning | Artificial Intelligence | Computer Graphics | Robotics,0.625234 | 0.618138 | 0.609920 | 0.597026 | 0.596949
tfidf,Anirban Chakraborty 0001,Artificial Intelligence | Computer Vision | Machine Learning,Computer Graphics,0.265639,Computer Graphics | Robotics | Computer Vision,0.265639 | 0.250731 | 0.246166,Computer Graphics | Robotics | Computer Vision | Machine Learning | Human-Computer Interaction,0.265639 | 0.250731 | 0.246166 | 0.221085 | 0.213232
tfidf,Anne Lauscher,Artificial Intelligence | Natural Language Processing,Natural Language Processing,0.275123,Natural Language Processing | The Web & Information Retrieval | Data Mining,0.275123 | 0.249111 | 0.238595,Natural Language Processing | The Web & Information Retrieval | Data Mining | Artificial Intelligence | Machine Learning,0.275123 | 0.249111 | 0.238595 | 0.234046 | 0.227885
tfidf,Anshumali Shrivastava,Artificial Intelligence | Data Mining | Databases | Human-Computer Interaction | Machine Learning | Robotics | The Web & Information Retrieval,Databases,0.571720,Databases | Data Mining | Machine Learning,0.571720 | 0.523384 | 0.514088,Databases | Data Mining | Machine Learning | Artificial Intelligence | The Web & Information Retrieval,0.571720 | 0.523384 | 0.514088 | 0.508534 | 0.498349
tfidf,Antoine Bosselut,Artificial Intelligence | Computer Vision | Machine Learning | Natural Language Processing | The Web & Information Retrieval,Natural Language Processing,0.191898,Natural Language Processing | Machine Learning | Artificial Intelligence,0.191898 | 0.162733 | 0.159033,Natural Language Processing | Machine Learning | Artificial Intelligence | The Web & Information Retrieval | Data Mining,0.191898 | 0.162733 | 0.159033 | 0.152832 | 0.151796
tfidf,Antonino Furnari,Computer Vision | Machine Learning,Robotics,0.184188,Robotics | Computer Vision | Computer Graphics,0.184188 | 0.178040 | 0.164057,Robotics | Computer Vision | Computer Graphics | Human-Computer Interaction | Machine Learning,0.184188 | 0.178040 | 0.164057 | 0.156440 | 0.151103
tfidf,Antonio Krüger,Human-Computer Interaction | Natural Language Processing | Robotics,Human-Computer Interaction,0.197651,Human-Computer Interaction | Visualization | Robotics,0.197651 | 0.139030 | 0.115392,Human-Computer Interaction | Visualization | Robotics | Computer Graphics | Artificial Intelligence,0.197651 | 0.139030 | 0.115392 | 0.107643 | 0.102080
tfidf,Antonio Torralba 0001,Computer Graphics | Computer Vision | Human-Computer Interaction | Machine Learning | Natural Language Processing | Robotics | The Web & Information Retrieval,Computer Vision,0.621469,Computer Vision | Machine Learning | Robotics,0.621469 | 0.605230 | 0.599303,Computer Vision | Machine Learning | Robotics | Artificial Intelligence | Computer Graphics,0.621469 | 0.605230 | 0.599303 | 0.593126 | 0.589571
tfidf,Antti Honkela,Machine Learning,Databases,0.188712,Databases | Machine Learning | Artificial Intelligence,0.188712 | 0.186190 | 0.177009,Databases | Machine Learning | Artificial Intelligence | Data Mining | Natural Language Processing,0.188712 | 0.186190 | 0.177009 | 0.176961 | 0.171772
tfidf,Antti Oulasvirta,Computer Vision | Human-Computer Interaction | Robotics,Human-Computer Interaction,0.536978,Human-Computer Interaction | Visualization | Natural Language Processing,0.536978 | 0.468201 | 0.396156,Human-Computer Interaction | Visualization | Natural Language Processing | Machine Learning | Artificial Intelligence,0.536978 | 0.468201 | 0.396156 | 0.394960 | 0.392453
tfidf,Antônio H. Ribeiro,Machine Learning,Machine Learning,0.157930,Machine Learning | Artificial Intelligence | Data Mining,0.157930 | 0.149043 | 0.139230,Machine Learning | Artificial Intelligence | Data Mining | Natural Language Processing | Computer Vision,0.157930 | 0.149043 | 0.139230 | 0.139070 | 0.134462
tfidf,Anuj Karpatne,Artificial Intelligence | Computer Vision | Data Mining | Machine Learning,Computer Vision,0.262616,Computer Vision | Machine Learning | Artificial Intelligence,0.262616 | 0.251137 | 0.249546,Computer Vision | Machine Learning | Artificial Intelligence | Natural Language Processing | Computer Graphics,0.262616 | 0.251137 | 0.249546 | 0.247151 | 0.235498
tfidf,Ari Holtzman,Artificial Intelligence | Computer Vision | Machine Learning | Natural Language Processing,Natural Language Processing,0.250249,Natural Language Processing | The Web & Information Retrieval | Data Mining,0.250249 | 0.230587 | 0.229752,Natural Language Processing | The Web & Information Retrieval | Data Mining | Machine Learning | Databases,0.250249 | 0.230587 | 0.229752 | 0.228951 | 0.226889
tfidf,Arianna Bisazza,Natural Language Processing,Natural Language Processing,0.183172,Natural Language Processing | The Web & Information Retrieval | Data Mining,0.183172 | 0.173242 | 0.163051,Natural Language Processing | The Web & Information Retrieval | Data Mining | Artificial Intelligence | Machine Learning,0.183172 | 0.173242 | 0.163051 | 0.156358 | 0.154292
tfidf,Arjen P. de Vries,Natural Language Processing | The Web & Information Retrieval,The Web & Information Retrieval,0.336394,The Web & Information Retrieval | Human-Computer Interaction | Natural Language Processing,0.336394 | 0.226926 | 0.225361,The Web & Information Retrieval | Human-Computer Interaction | Natural Language Processing | Data Mining | Databases,0.336394 | 0.226926 | 0.225361 | 0.222222 | 0.201021
tfidf,Arno Solin,Artificial Intelligence | Computer Vision | Machine Learning | The Web & Information Retrieval,Machine Learning,0.154980,Machine Learning | Computer Vision | Artificial Intelligence,0.154980 | 0.153624 | 0.153255,Machine Learning | Computer Vision | Artificial Intelligence | Computer Graphics | Data Mining,0.154980 | 0.153624 | 0.153255 | 0.149684 | 0.143126
tfidf,Ashok Cutkosky,Machine Learning,Machine Learning,0.332198,Machine Learning | Artificial Intelligence | Data Mining,0.332198 | 0.311149 | 0.291911,Machine Learning | Artificial Intelligence | Data Mining | Databases | The Web & Information Retrieval,0.332198 | 0.311149 | 0.291911 | 0.281376 | 0.273964
tfidf,Ashton Anderson,Data Mining | Machine Learning | Natural Language Processing | The Web & Information Retrieval,Human-Computer Interaction,0.237147,Human-Computer Interaction | Visualization | Natural Language Processing,0.237147 | 0.236517 | 0.228466,Human-Computer Interaction | Visualization | Natural Language Processing | Machine Learning | Artificial Intelligence,0.237147 | 0.236517 | 0.228466 | 0.219806 | 0.218854
tfidf,Asif Ekbal,Artificial Intelligence | Natural Language Processing | The Web & Information Retrieval,Natural Language Processing,0.101442,Natural Language Processing | Artificial Intelligence | Computer Vision,0.101442 | 0.090697 | 0.090002,Natural Language Processing | Artificial Intelligence | Computer Vision | The Web & Information Retrieval | Machine Learning,0.101442 | 0.090697 | 0.090002 | 0.088660 | 0.087772
tfidf,Avinash Sharma 0001,Computer Vision | Robotics,Robotics,0.216260,Robotics | Computer Graphics | Computer Vision,0.216260 | 0.205550 | 0.198394,Robotics | Computer Graphics | Computer Vision | Artificial Intelligence | Machine Learning,0.216260 | 0.205550 | 0.198394 | 0.181726 | 0.181534
tfidf,Avrim Blum,Artificial Intelligence | Machine Learning,Artificial Intelligence,0.233324,Artificial Intelligence | Machine Learning | Natural Language Processing,0.233324 | 0.232091 | 0.231221,Artificial Intelligence | Machine Learning | Natural Language Processing | Human-Computer Interaction | The Web & Information Retrieval,0.233324 | 0.232091 | 0.231221 | 0.230793 | 0.220628
tfidf,Baihua Zheng,Artificial Intelligence | Data Mining | Databases | Human-Computer Interaction | The Web & Information Retrieval,Databases,0.271108,Databases | Data Mining | The Web & Information Retrieval,0.271108 | 0.234318 | 0.229177,Databases | Data Mining | The Web & Information Retrieval | Artificial Intelligence | Machine Learning,0.271108 | 0.234318 | 0.229177 | 0.218476 | 0.213398
tfidf,Baowen Xu,Artificial Intelligence | Computer Vision | Natural Language Processing | Software Engineering,Natural Language Processing,0.234804,Natural Language Processing | Data Mining | The Web & Information Retrieval,0.234804 | 0.216259 | 0.215673,Natural Language Processing | Data Mining | The Web & Information Retrieval | Artificial Intelligence | Machine Learning,0.234804 | 0.216259 | 0.215673 | 0.213807 | 0.208128
tfidf,Bart Selman,Artificial Intelligence | Machine Learning | Robotics,Artificial Intelligence,0.124353,Artificial Intelligence | Machine Learning | Data Mining,0.124353 | 0.121422 | 0.120649,Artificial Intelligence | Machine Learning | Data Mining | The Web & Information Retrieval | Natural Language Processing,0.124353 | 0.121422 | 0.120649 | 0.111663 | 0.106929
tfidf,Benjamin M. Marlin,Data Mining | Human-Computer Interaction | Machine Learning | Robotics,Data Mining,0.268412,Data Mining | Machine Learning | Artificial Intelligence,0.268412 | 0.268383 | 0.267704,Data Mining | Machine Learning | Artificial Intelligence | Databases | The Web & Information Retrieval,0.268412 | 0.268383 | 0.267704 | 0.265090 | 0.264173
tfidf,Benyou Wang,Artificial Intelligence | Computer Vision | Machine Learning | Natural Language Processing | The Web & Information Retrieval,Natural Language Processing,0.165332,Natural Language Processing | Artificial Intelligence | The Web & Information Retrieval,0.165332 | 0.144857 | 0.144189,Natural Language Processing | Artificial Intelligence | The Web & Information Retrieval | Data Mining | Machine Learning,0.165332 | 0.144857 | 0.144189 | 0.141041 | 0.140964
tfidf,Bernd Bischl,Machine Learning,Machine Learning,0.131618,Machine Learning | Artificial Intelligence | Data Mining,0.131618 | 0.127955 | 0.122263,Machine Learning | Artificial Intelligence | Data Mining | Natural Language Processing | The Web & Information Retrieval,0.131618 | 0.127955 | 0.122263 | 0.118132 | 0.116673
tfidf,Bernhard Kainz,Artificial Intelligence | Computer Vision | Machine Learning,Computer Graphics,0.266302,Computer Graphics | Computer Vision | Machine Learning,0.266302 | 0.252918 | 0.232903,Computer Graphics | Computer Vision | Machine Learning | Artificial Intelligence | Robotics,0.266302 | 0.252918 | 0.232903 | 0.230723 | 0.229341
tfidf,Bhaskar Krishnamachari,Artificial Intelligence | Robotics,Robotics,0.128929,Robotics | Databases | Human-Computer Interaction,0.128929 | 0.124514 | 0.124411,Robotics | Databases | Human-Computer Interaction | Natural Language Processing | Data Mining,0.128929 | 0.124514 | 0.124411 | 0.123962 | 0.122873
tfidf,Bhiksha Raj,Artificial Intelligence | Computer Vision | Machine Learning | Natural Language Processing,Computer Vision,0.384077,Computer Vision | Machine Learning | Artificial Intelligence,0.384077 | 0.383702 | 0.379035,Computer Vision | Machine Learning | Artificial Intelligence | Data Mining | Natural Language Processing,0.384077 | 0.383702 | 0.379035 | 0.372154 | 0.356478
tfidf,Bijaya Adhikari,Artificial Intelligence | Data Mining | Machine Learning | The Web & Information Retrieval,Databases,0.251903,Databases | Data Mining | The Web & Information Retrieval,0.251903 | 0.251731 | 0.233104,Databases | Data Mining | The Web & Information Retrieval | Machine Learning | Artificial Intelligence,0.251903 | 0.251731 | 0.233104 | 0.231069 | 0.229736
tfidf,Bin Cui 0001,Artificial Intelligence | Computer Vision | Data Mining | Databases | Machine Learning | Natural Language Processing | The Web & Information Retrieval,Databases,0.460058,Databases | Data Mining | The Web & Information Retrieval,0.460058 | 0.457598 | 0.435467,Databases | Data Mining | The Web & Information Retrieval | Artificial Intelligence | Natural Language Processing,0.460058 | 0.457598 | 0.435467 | 0.428106 | 0.423264
tfidf,Bin Sheng 0001,Artificial Intelligence | Computer Vision,Human-Computer Interaction,0.101651,Human-Computer Interaction | Computer Vision | Artificial Intelligence,0.101651 | 0.100161 | 0.099555,Human-Computer Interaction | Computer Vision | Artificial Intelligence | Computer Graphics | Machine Learning,0.101651 | 0.100161 | 0.099555 | 0.099170 | 0.097286
tfidf,Bin Sun 0001,Artificial Intelligence | Computer Vision,Computer Vision,0.184469,Computer Vision | Artificial Intelligence | Machine Learning,0.184469 | 0.170856 | 0.167141,Computer Vision | Artificial Intelligence | Machine Learning | Natural Language Processing | Human-Computer Interaction,0.184469 | 0.170856 | 0.167141 | 0.163081 | 0.155683
tfidf,Bing Qin 0001,Artificial Intelligence | Data Mining | Machine Learning | Natural Language Processing | The Web & Information Retrieval,Natural Language Processing,0.318312,Natural Language Processing | The Web & Information Retrieval | Data Mining,0.318312 | 0.285838 | 0.285122,Natural Language Processing | The Web & Information Retrieval | Data Mining | Artificial Intelligence | Machine Learning,0.318312 | 0.285838 | 0.285122 | 0.282388 | 0.276687
tfidf,Bingsheng He,Artificial Intelligence | Computer Vision | Data Mining | Databases | Machine Learning | Natural Language Processing | The Web & Information Retrieval,Databases,0.587187,Databases | Data Mining | The Web & Information Retrieval,0.587187 | 0.542012 | 0.523299,Databases | Data Mining | The Web & Information Retrieval | Artificial Intelligence | Machine Learning,0.587187 | 0.542012 | 0.523299 | 0.495450 | 0.481373
tfidf,Biwei Huang,Artificial Intelligence | Data Mining | Machine Learning,Machine Learning,0.232807,Machine Learning | Artificial Intelligence | Data Mining,0.232807 | 0.229022 | 0.226970,Machine Learning | Artificial Intelligence | Data Mining | The Web & Information Retrieval | Computer Vision,0.232807 | 0.229022 | 0.226970 | 0.217142 | 0.212132
tfidf,Bo Li 0026,Artificial Intelligence | Computer Vision | Data Mining | Databases | Machine Learning | Natural Language Processing,Natural Language Processing,0.423882,Natural Language Processing | Artificial Intelligence | Data Mining,0.423882 | 0.402359 | 0.401392,Natural Language Processing | Artificial Intelligence | Data Mining | Machine Learning | The Web & Information Retrieval,0.423882 | 0.402359 | 0.401392 | 0.400625 | 0.397084
tfidf,Bo Liu 0006,Artificial Intelligence | Machine Learning | Software Engineering,Robotics,0.091402,Robotics | Machine Learning | Artificial Intelligence,0.091402 | 0.085234 | 0.080865,Robotics | Machine Learning | Artificial Intelligence | Natural Language Processing | Computer Vision,0.091402 | 0.085234 | 0.080865 | 0.072109 | 0.069942
tfidf,Boqing Gong,Artificial Intelligence | Computer Vision | Machine Learning | Natural Language Processing | Robotics | The Web & Information Retrieval,Computer Vision,0.705886,Computer Vision | Machine Learning | Artificial Intelligence,0.705886 | 0.674170 | 0.672854,Computer Vision | Machine Learning | Artificial Intelligence | Natural Language Processing | Robotics,0.705886 | 0.674170 | 0.672854 | 0.655715 | 0.644083
tfidf,Bowen Xu,Artificial Intelligence | Machine Learning | Robotics | Software Engineering,Machine Learning,0.098813,Machine Learning | Artificial Intelligence | Data Mining,0.098813 | 0.092218 | 0.091348,Machine Learning | Artificial Intelligence | Data Mining | Databases | Computer Vision,0.098813 | 0.092218 | 0.091348 | 0.089238 | 0.084062
tfidf,Brian Bullins,Machine Learning,Machine Learning,0.171613,Machine Learning | Artificial Intelligence | Databases,0.171613 | 0.159470 | 0.152285,Machine Learning | Artificial Intelligence | Databases | Data Mining | The Web & Information Retrieval,0.171613 | 0.159470 | 0.152285 | 0.149225 | 0.135872
tfidf,Brian Kulis,Artificial Intelligence | Computer Vision | Machine Learning,Machine Learning,0.150786,Machine Learning | Artificial Intelligence | Data Mining,0.150786 | 0.141476 | 0.133624,Machine Learning | Artificial Intelligence | Data Mining | Robotics | Databases,0.150786 | 0.141476 | 0.133624 | 0.127496 | 0.126468
tfidf,Brian Logan 0001,Artificial Intelligence,Artificial Intelligence,0.107933,Artificial Intelligence | Robotics | Machine Learning,0.107933 | 0.103633 | 0.099776,Artificial Intelligence | Robotics | Machine Learning | Natural Language Processing | Computer Vision,0.107933 | 0.103633 | 0.099776 | 0.091975 | 0.085093
tfidf,Byoung-Tak Zhang,Artificial Intelligence | Computer Vision | Machine Learning | Natural Language Processing | Robotics,Natural Language Processing,0.215730,Natural Language Processing | Computer Vision | Artificial Intelligence,0.215730 | 0.212045 | 0.207034,Natural Language Processing | Computer Vision | Artificial Intelligence | Machine Learning | The Web & Information Retrieval,0.215730 | 0.212045 | 0.207034 | 0.197510 | 0.194852
tfidf,Byungjoo Lee,Human-Computer Interaction,Human-Computer Interaction,0.293625,Human-Computer Interaction | Machine Learning | Artificial Intelligence,0.293625 | 0.263989 | 0.260564,Human-Computer Interaction | Machine Learning | Artificial Intelligence | Robotics | Computer Vision,0.293625 | 0.263989 | 0.260564 | 0.259468 | 0.258886
tfidf,C. Karen Liu,Computer Graphics | Computer Vision | Machine Learning | Robotics,Robotics,0.566135,Robotics | Computer Graphics | Human-Computer Interaction,0.566135 | 0.537506 | 0.496152,Robotics | Computer Graphics | Human-Computer Interaction | Computer Vision | Machine Learning,0.566135 | 0.537506 | 0.496152 | 0.492511 | 0.463086
tfidf,C. V. Jawahar,Artificial Intelligence | Computer Vision | Machine Learning | Robotics,Robotics,0.290358,Robotics | Computer Vision | Machine Learning,0.290358 | 0.288443 | 0.260138,Robotics | Computer Vision | Machine Learning | Artificial Intelligence | Computer Graphics,0.290358 | 0.288443 | 0.260138 | 0.258392 | 0.252239
tfidf,Cameron Musco,Artificial Intelligence | Data Mining | Machine Learning | The Web & Information Retrieval,Databases,0.189801,Databases | Data Mining | Machine Learning,0.189801 | 0.185664 | 0.176737,Databases | Data Mining | Machine Learning | The Web & Information Retrieval | Artificial Intelligence,0.189801 | 0.185664 | 0.176737 | 0.175070 | 0.172437
